City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
205,zaozersk,69.4005,32.4476,-14.41,86,44,0.42,RU,1701044168
206,mahina,-17.5065,-149.489,28.87,70,40,4.12,PF,1701044168
207,baiyin,36.5583,104.2081,0.08,40,4,0.97,CN,1701044168
208,zhangye,38.9342,100.4517,-0.69,48,61,0.59,CN,1701044168
209,poxoreo,-15.8372,-54.3892,23.58,84,65,0.58,BR,1701044168
210,constantia,44.1833,28.65,-0.62,75,95,8.12,RO,1701044164
211,palangkaraya,-2.2,113.8333,24.2,94,100,1.5,ID,1701044168
212,ahlerstedt,53.4,9.45,2.58,99,100,2.66,DE,1701044168
213,tangalle,6.024,80.7911,25.17,88,98,4.62,LK,1701044169
214,nampula,-15.1165,39.2666,23.97,78,20,2.06,MZ,1701044169
215,san patricio,28.017,-97.5169,15.97,45,100,6.57,US,1701044169
216,fale old settlement,-9.3852,-171.2468,29.82,75,23,7.6,TK,1701044169
217,ancud,-41.8697,-73.8203,12.39,85,100,1.47,CL,1701044169
218,byron bay,-28.65,153.6167,29.84,60,49,3.58,AU,1701044169
219,brisas de zicatela,15.8369,-97.0419,28.29,57,40,1.54,MX,1701044169
220,cambria,35.5641,-121.0808,18.06,68,100,0.45,US,1701044170
221,suez,29.9737,32.5263,17.1,52,0,3.74,EG,1701043614
222,punta arenas,-53.15,-70.9167,8.06,61,20,7.2,CL,1701044136
223,massawa,15.6097,39.45,28.38,69,22,1.25,ER,1701044170
224,belmonte,-15.8631,-38.8828,24.6,86,73,3.25,BR,1701044170
225,totness,5.8833,-56.3167,26.65,81,99,5.63,SR,1701044170
226,midar,34.9403,-3.5331,10.58,75,9,0.92,MA,1701044170
227,nikolayevsk-on-amure,53.1406,140.73,-15.52,67,69,4.28,RU,1701044170
228,pasuquin,18.3328,120.6177,25.97,83,75,1.03,PH,1701044171
229,melo,-32.3667,-54.1833,17.22,94,1,3.87,UY,1701044171
230,uturoa,-16.7333,-151.4333,26.56,78,32,7.8,PF,1701044171
231,mabaruma,8.2,-59.7833,23.98,93,100,1.11,GY,1701044171
232,avarua,-21.2078,-159.775,27.03,65,75,9.77,CK,1701044171
233,dwarka,22.2394,68.9678,22.23,75,16,5.99,IN,1701043976
234,hamilton,39.1834,-84.5333,7.45,88,100,8.05,US,1701044171
235,boquete,8.7833,-82.4333,20.66,95,25,0.45,PA,1701044172
236,santa ana,33.7456,-117.8678,21.38,27,75,5.14,US,1701044041
237,nieuw amsterdam,5.8833,-55.0833,25.57,92,97,3.98,SR,1701044172
238,flying fish cove,-10.4217,105.6791,25.82,78,100,4.63,CX,1701044172
239,west bay,19.3667,-81.4167,28.04,84,20,3.6,KY,1701044172
240,jining,35.405,116.5814,4.59,66,0,1.31,CN,1701044172
241,salalah,17.0151,54.0924,24.05,60,0,2.57,OM,1701044172
242,barra de santo antonio,-9.4047,-35.5072,23.6,71,0,2.44,BR,1701044173
243,liperi,62.5333,29.3667,-18.74,84,0,2.06,FI,1701044173
244,kavieng,-2.5744,150.7967,29.51,69,85,1.92,PG,1701044173
245,weno,7.4515,151.8468,29.97,84,75,3.6,FM,1701044173
246,lobujya,27.95,86.8167,-9.08,32,76,1.18,NP,1701044173
247,dudinka,69.4058,86.1778,-27.35,100,87,2.22,RU,1701044173
248,medina,24.4686,39.6142,23.24,35,0,0.0,SA,1701044110
249,malakal,9.5334,31.6605,27.95,37,24,1.13,SS,1701044173
250,ust'-ilimsk,58.0006,102.6619,-21.55,97,74,1.19,RU,1701043885
251,el dorado,38.7666,-120.5177,11.1,55,0,0.89,US,1701044174
252,santa elena de uairen,4.6167,-61.1333,20.59,87,98,0.93,VE,1701044174
253,bath,51.3779,-2.3591,10.41,97,100,3.8,GB,1701044174
254,bishkul,54.7803,69.1033,0.7,96,100,4.64,KZ,1701044174
255,port harcourt,4.7774,7.0134,23.16,96,100,2.27,NG,1701044174
256,moapa valley,36.5805,-114.4703,14.82,28,0,2.64,US,1701044174
257,daru,-9.0763,143.2092,29.72,66,94,3.4,PG,1701044174
258,noumea,-22.2763,166.4572,31.99,99,60,5.88,NC,1701043896
259,hailey,43.5196,-114.3153,-5.06,81,100,0.45,US,1701044175
260,padang,-0.9492,100.3543,25.03,89,100,1.4,ID,1701044120
261,westport,41.1415,-73.3579,10.9,86,100,7.2,US,1701044175
262,ibimirim,-8.5406,-37.6903,24.57,48,0,6.74,BR,1701044175
263,pingliang,35.5392,106.6861,2.62,39,1,0.63,CN,1701044045
264,crane,31.3974,-102.3501,9.34,28,99,3.17,US,1701044175
265,tazovsky,67.4667,78.7,-19.35,97,89,4.6,RU,1701043871
266,st. john's,47.5649,-52.7093,1.2,83,100,2.06,CA,1701044175
267,ghanzi,-21.5667,21.7833,26.86,30,21,2.42,BW,1701044149
